number,score,loss,transmission,transmission_corrected,decay_survival,cooling_factor,eps6d_in,eps6d_out,n_in,n_out,ok,wall_seconds,p_BLS,p_Grad,p_Grad0,p_delf,p_pitchFactor,p_dtRF,p_wedgeScale,p_irisScale
41,-0.35855529763097715,0.35855529763097715,0.6404494382022472,0.6986849891456466,0.916649775151732,63.7194140775916,14541.78361915381,228.21590294986348,267,171,1,101.51127076148987,21.86060482611715,28.336942006796004,20.33182691461565,0.006683650641444267,0.7525694027144789,0.05053673360196499,0.8766909859382689,1.2970010928485425
42,-0.4216325260734693,0.4216325260734693,0.6007604562737643,0.6559750488352883,0.9158282122779519,88.03047773735882,19329.07986443063,219.57258850848717,263,158,1,97.09554147720337,22.243441003529217,28.297515994675013,22.902272133580436,0.01701628007504182,0.7493485931915538,0.1437102457756482,0.9863884859041162,1.3098517959515925
43,-0.2927184982402161,0.2927184982402161,0.6844106463878327,0.7462321768040453,0.917155099528164,39.65599492795894,14789.235160919105,372.9381947870925,263,180,1,103.27539539337158,21.488079377918005,29.374709611135028,17.32968319496505,0.004410080987946908,0.6949338068957879,0.06765773567149201,0.64126689659854,1.1930122719494407
44,-0.47647712767114586,0.47647712767114586,0.5687022900763359,0.6209671309533324,0.9158331604496399,47.91208724919288,19411.05414353026,405.1389797019802,262,149,1,94.99230885505676,22.95466794418614,28.623500295714376,19.598572954782572,0.009807533854831152,0.6460735524893105,0.16492342780349628,0.74899685860029,1.1922953428796568
45,-0.3556906000403551,0.3556906000403551,0.6436781609195402,0.7006893799666825,0.9186355314107185,64.70627268879917,17116.90437978116,264.5323809965667,261,168,1,98.52911901473999,22.05284842664031,27.06574461598127,21.971286088469117,0.013686715297918688,1.1779586662526713,-0.17192973307318088,0.6255806069823089,1.285670270750488
46,-0.4334611873432859,0.4334611873432859,0.5938697318007663,0.6482614528765851,0.9160960121345149,63.58742072007006,19460.51855683431,306.04352773648515,261,155,1,96.44628286361694,23.519850181496125,29.591035020020186,19.445928003295045,0.012582371876316807,0.6373433301774635,0.1575032965899858,0.7646212656686915,1.154641975906143
47,-0.41528659787866823,0.41528659787866823,0.6053639846743295,0.6601510556983716,0.917008280830388,67.70353676459074,17426.28402717993,257.39104424887233,261,158,1,98.99656939506531,21.75405494276019,28.80559725755582,16.868777617102367,0.02596027010737974,0.7380959491519233,0.06870765389147486,0.5260486034971369,1.2125834628109178
48,-0.34821519107560767,0.34821519107560767,0.6477272727272727,0.7059469463852844,0.9175296756277246,41.42069711267463,15884.530446441993,383.49259075075696,264,171,1,103.21859049797058,20.836680100696263,29.18607070920063,17.813452087106118,0.01377413804496102,0.6189986430450235,-0.05004872045995738,0.5364239210075712,1.2551786745044662
49,-0.30965460265746736,0.30965460265746736,0.6730769230769231,0.7337003306087584,0.9173730677188936,54.149160395454714,15684.522948343903,289.65403773205065,260,175,1,103.18131232261658,21.785159173223207,29.333305172232645,17.97643044021399,0.009408717653097944,0.823996226870615,0.029518054288685765,0.5659571528063989,1.1743858298375442
50,-0.3045642526622415,0.3045642526622415,0.676923076923077,0.7374446439307082,0.9179306982486973,38.82157577737755,16448.516212684233,423.69522316683646,260,176,1,103.64057064056396,20.972587172537004,29.79258210875772,16.685021628745368,0.009626290759075116,0.8716673717094776,-0.007595424641023946,0.6109839660104466,1.059869890881174
51,-0.39783624570883264,0.39783624570883264,0.6159695817490495,0.6717720242072109,0.9169324704701473,36.235744850677094,15361.312936551794,423.92706428014145,263,162,1,99.51164865493774,21.340824189316773,29.332622652086908,20.02707482985875,0.010186274481499507,0.6108495332997788,0.05118411163557781,0.5326017116819011,1.182927191434119
52,-0.3625138765828399,0.3625138765828399,0.6384615384615384,0.6959246565554912,0.9174291102453979,83.45166341482631,16703.77071508084,200.16102773229068,260,166,1,100.69702124595642,22.273075429359707,29.546643125763524,18.215229021444767,0.009531346301145376,0.7590775771941153,0.009912424229368992,0.8718004307672262,1.0854167104999988
53,-0.31893502433133675,0.31893502433133675,0.6653846153846154,0.7269227800655979,0.9153442891479763,66.67270553891947,14583.98847429285,218.74001296946923,260,173,1,101.11087584495544,21.561523555633414,29.985526758044983,17.872684868512323,0.00042169145851385544,0.6838890954823008,0.1326760662140053,1.3933893974671112,1.2333317778052126
54,-0.2910803870316392,0.2910803870316392,0.685823754789272,0.7474555898668178,0.9175444857017828,39.15182059857843,17174.500771606316,438.6641670561268,261,179,1,106.10645532608032,20.14172769134424,29.949277249710665,21.658178255576146,0.018159764150979835,0.8044061527628263,0.01565093594948641,0.605986779050034,1.113059663262829
55,-0.4294842686648705,0.4294842686648705,0.5977443609022557,0.6508446691729436,0.9184132393092121,52.2293262915213,17605.998634112148,337.09028785558417,266,159,1,101.2037832736969,21.797286503819677,28.72497748620963,18.160471766019384,0.039449508640866854,0.9194296538872557,-0.14365347899729705,0.6201195510888518,1.0900635435709
56,-0.4652396594011809,0.4652396594011809,0.5747126436781609,0.6279845847440108,0.9151699860792515,108.12703836974077,25304.98205534074,234.0301041892063,261,150,1,93.38300943374634,22.619429940999566,29.925279850828364,17.93825598533005,0.03413178579078135,0.6682272642300803,0.19113334262194112,1.3836060697329207,1.2615789888535722
57,-0.3023924221339456,0.3023924221339456,0.678030303030303,0.739047989188186,0.9174374505437617,33.27895080430409,16487.316298411155,495.42776740061134,264,179,1,103.56812858581543,20.216006318496735,29.441448740197735,18.986558977600343,0.021907418255906093,0.9947843114758935,0.003376683404421396,0.5680866676867137,1.0577475115826742
58,-0.3253606218883821,0.3253606218883821,0.6615384615384615,0.7222668414394185,0.9159197454227161,87.81519272291409,15174.430215649074,172.79960044646725,260,172,1,100.6409912109375,20.720281759136853,28.5251395218226,16.624217897637894,0.00010689194524219925,0.8054517138602338,0.12077493270361495,1.4974721296479234,1.209363042104482
