number,score,loss,transmission,cooling_factor,eps6d_in,eps6d_out,n_in,n_out,ok,wall_seconds,p_BLS,p_Grad,p_Grad0,p_delf,p_pitchFactor,p_dtRF,p_wedgeScale
36,-5.519192168053253,5.519192168053253,0.5549295774647888,114.19717468233036,15806.944758893522,138.41800204658932,355,197,1,93.77707076072693,21.031843292201973,24.749392895456236,27.497467265783072,0.03778502911389346,0.9699841174994867,-0.22932909477782895,3.400607710708897
37,-5.828410837998134,5.828410837998134,0.4745762711864407,167.8937115957788,27076.162693406586,161.26966540947765,354,168,1,86.7793288230896,25.26159104332911,23.927052899879,26.798643859472406,0.0064825047015420745,1.1152111511927343,-0.10452944952483469,3.3380726651914236
38,-5.928650815331916,5.928650815331916,0.5071225071225072,95.06373594771576,18109.568310520415,190.49922801772195,351,178,1,91.33887147903442,22.38618048842371,22.04316150553049,18.447816886357383,0.009480467497935727,1.0892211368595384,-0.05770286750380059,2.3114400762673277
39,-5.3094915247792995,5.3094915247792995,0.5014084507042254,187.19399557543204,18983.06935294053,101.4085376755104,355,178,1,92.41462707519531,21.481815409630993,22.99852950266942,26.779534830459912,0.024669339208906415,0.8135072078384317,-0.03863968432196769,3.033448992071271
40,-5.454412031631186,5.454412031631186,0.43454038997214484,208.1584661143311,21146.830103685406,101.59005539592371,359,156,1,86.05849528312683,21.107121198718772,22.519096618201054,27.732263035596823,0.05747275577642995,0.9729080356050908,-0.12701040421667234,3.4243989058297664
41,-5.781971186339128,5.781971186339128,0.449438202247191,128.44664250507688,18727.11692499058,145.79685821099127,356,160,1,85.99632143974304,22.426284511813915,22.787345716308337,27.987139189995904,0.04319885830062375,0.8880027720282244,-0.22787576373237164,3.2539881164167985
42,-5.401923202332032,5.401923202332032,0.3926553672316384,242.3617555327894,20349.437028277756,83.96306993049758,354,139,1,82.68594455718994,21.062209163054955,20.36278182757858,25.559192040769734,0.012154201135804663,0.7149775648832827,-0.032764291438145174,3.2612389599663274
43,-5.998187117698338,5.998187117698338,0.35376044568245124,163.7630730751765,18513.85687541055,113.05269574974112,359,127,1,78.96275305747986,21.39959218167483,20.17178922244562,27.767914101169538,0.028130707116416524,0.8116469535059114,-0.14558492295583744,3.3487090127001355
44,-5.4413311026883555,5.4413311026883555,0.42618384401114207,182.91987231960454,17988.623987188243,98.34155118891532,359,153,1,84.19146728515625,21.19098154772584,21.512042767161212,27.77181306030678,0.07437395604818225,1.0161285227388352,-0.23183543212900995,3.0485182449674713
45,-6.126862042292738,6.126862042292738,0.5903954802259888,65.88035079061531,17813.994070037512,270.3991987938098,354,209,1,98.07423186302185,21.27436498984563,28.581402176102728,29.049449445821068,0.050522318902763,0.9710160029591993,-0.21172955715144268,2.9998178720585247
46,-5.279412181063273,5.279412181063273,0.4985835694050991,191.39635815732842,18727.991786725655,97.84925882096036,353,176,1,88.7174220085144,21.047672778392045,23.473223019181102,25.387403379555003,0.014230672959740343,0.772139991329822,0.05194399986780457,3.3267999372524795
47,-5.284574417492133,5.284574417492133,0.41359773371104813,246.00335173570622,20071.539453290898,81.5905121278785,353,146,1,83.0783908367157,21.25685129541053,21.38989204656161,25.154017646926352,0.017640378329676788,0.7622294553780087,0.050017916186367264,3.365321192823747
48,-5.899740378911779,5.899740378911779,0.37183098591549296,166.35297989238165,19607.969256366854,117.86966045965508,355,132,1,80.75529527664185,21.491049356598257,20.144619901929445,27.950722376171136,0.006817703335641121,0.7040516952029263,-0.02325676740438516,3.30404177409485
49,-6.400668293336534,6.400668293336534,0.3492957746478873,174.68703428534096,28518.461830564673,163.25459955992756,355,124,1,77.45687556266785,21.078024350087766,20.535674878592413,25.864915651981423,0.09592482877626035,0.9591503324323714,-0.1838442784601262,2.685658059035744
50,-5.763248137947745,5.763248137947745,0.40168539325842695,153.90587728418885,19682.855693421137,127.88891523016068,356,143,1,79.84365034103394,21.231002335551334,21.73780104394205,28.132559142768287,0.011290965345887104,0.782690018559111,0.10645845079756307,3.3278634222408683
51,-6.297477159240664,6.297477159240664,0.38028169014084506,109.1805274695414,20435.83643072964,187.17473623152003,355,135,1,79.52212333679199,22.42741670844715,20.59537702530043,26.21880274372951,0.020609150684303537,0.7771871470388696,0.054773809508262127,3.084197180861414
52,-6.497206283322482,6.497206283322482,0.3601108033240997,191.38200949389056,37447.2394164537,195.66750038565732,361,130,1,75.37678217887878,21.729458157618126,22.572837614868853,27.501854657007122,0.10861784877249374,0.9144615779511907,-0.16370720876218067,2.918134302139556
53,-6.064789174990274,6.064789174990274,0.3408450704225352,290.00319100021363,31652.715117415453,109.14609252486514,355,121,1,73.64205932617188,21.238245920432966,22.117011782085687,24.230015256525405,0.062248473445156036,0.7881676911218248,0.12755038424362247,3.4254619330528033
54,-5.529052129807917,5.529052129807917,0.4888268156424581,162.48641320685428,20008.24073795895,123.13793100034364,358,175,1,88.20441770553589,22.390660541573055,22.09042276993931,22.29258299237739,0.010376890049112492,0.8103805952547455,0.02738338695144179,2.9788199489844707
55,-5.56824485241431,5.56824485241431,0.403954802259887,284.59536050044187,30117.47819785137,105.82561200186751,354,143,1,80.4077775478363,21.017698888209026,21.22360275042768,28.98085131616013,0.07223554088663732,0.931823785554614,-0.09416924632573878,3.096959502653607
