number,score,loss,transmission,cooling_factor,eps6d_in,eps6d_out,n_in,n_out,ok,wall_seconds,p_BLS,p_Grad,p_Grad0,p_delf,p_pitchFactor,p_dtRF,p_wedgeScale
33,4.486709473493873,-4.486709473493873,0.3649122807017544,243.42472438374094,41329.565419709375,169.7837617946992,285,104,1,62.06121039390564,21.26488361391939,22.898585391904014,22.43899522177942,0.08117081286795066,0.8288567922298984,0.2254975000643683,1.8228452759389384
34,4.935949055628396,-4.935949055628396,0.2961672473867596,470.0222410172109,77838.38879337157,165.60575649551305,287,85,1,56.0858473777771,25.946787817146056,21.684304778055484,27.014560072420245,0.045617974031352565,0.8117303016834947,-0.05576758165325521,1.8937659875609028
35,3.859056316325169,-3.859056316325169,0.5314685314685315,89.22556541370342,21113.99657666851,236.63617572801374,286,152,1,79.12314867973328,23.57295402934264,24.667156403349097,27.49166300845949,0.01450131457600003,0.5563426984251516,-0.018198829476380518,1.8209675708485602
36,3.6553986767596265,-3.6553986767596265,0.5486111111111112,70.51067549874183,18880.536963976014,267.7684879690723,288,158,1,79.33656716346741,22.377623749040964,26.68286053813714,22.143000095916733,0.04514698965463949,0.8117303016834947,-0.12736920437737342,2.0713230938507547
37,3.6198839801561107,-3.6198839801561107,0.17894736842105263,208.62690803423388,134182.66387796917,643.1704574558089,285,51,1,46.044849157333374,23.22837919021129,19.579228423519385,27.327913143736385,0.10491103174539704,0.9401832994518527,0.2071444235225675,1.1025152316047262
38,4.376638171630568,-4.376638171630568,0.23529411764705882,338.17284975208753,78326.80051827306,231.61764930476815,289,68,1,51.98672032356262,23.236276027844447,18.755780221158208,26.214061549142,0.09423796540737185,0.977984332472241,-0.09741252839484457,2.238718156611126
39,4.1951899867539195,-4.1951899867539195,0.4529616724738676,146.51645633172242,20796.799935980875,141.94173444173137,287,130,1,72.69675493240356,23.698517546718435,24.869985619429393,28.168507785707046,0.001045482596318026,0.43138119413941095,0.04658428164746542,2.709934533326556
40,4.6174728897329524,-4.6174728897329524,0.3958333333333333,255.7588277837139,58423.344655127956,228.43139046811118,288,114,1,64.85089707374573,24.438409643893564,27.766147842647694,22.35002987454912,0.06350560818438064,0.6783147309390087,-0.018198829476380518,2.8179125521167716
41,4.015838981322668,-4.015838981322668,0.4554794520547945,121.78335108935428,22350.26143198397,183.52476945379215,292,133,1,69.23959302902222,21.88567858501579,20.875074027223754,22.732397701865473,0.036408134960275514,1.0475133507598102,-0.09741252839484457,2.6140264170308276
42,3.89246966020139,-3.89246966020139,0.27972027972027974,175.2887889453648,62019.64849228078,353.81411934799485,286,80,1,57.43859553337097,25.648608629718787,20.875074027223754,27.014560072420245,0.03656673219507591,0.6472593264025083,-0.05576758165325521,1.3672057946034923
