number,score,loss,transmission,transmission_corrected,decay_survival,cooling_factor,eps6d_in,eps6d_out,n_in,n_out,ok,wall_seconds,p_BLS,p_Grad,p_Grad0,p_delf,p_pitchFactor,p_dtRF,p_wedgeScaleStart,p_wedgeScaleEnd,p_wedgeScaleMidBump,p_irisScale
24,-5.40384410876002,5.40384410876002,0.5538461538461539,0.6053464327614726,0.9149242877662886,188.3785179370959,18410.19522577019,97.72980182335756,260,144,1,92.92576050758362,21.472728418370743,23.638655636015837,19.117468115550185,0.024912024085715516,0.8038820891528411,0.09657749391100127,1.5053506433857877,3.8759191854207637,-0.026823782556909426,1.0078740226658516
25,-6.033403671242359,6.033403671242359,0.5378787878787878,0.5864215447261578,0.9172220780700715,97.60186644733541,16051.734347640935,164.46134620081497,264,142,1,100.17561268806458,21.837679334769927,24.2916651573369,18.875329159356916,0.014049428209068703,1.0999133015934863,-0.04489554975458904,0.7715077353500244,4.393144017380507,0.6926437786283616,1.042245688815545
26,-4.93504015377437,4.93504015377437,0.6053639846743295,0.661063217848367,0.9157429551816123,247.8847932640656,20870.22694889048,84.19325233338512,261,158,1,94.24921894073486,21.635666832296064,23.85579917957619,19.190162036812737,0.02733480203846004,0.8290454757253997,0.05362927153176016,1.278305084505353,3.887202530488092,-0.2538833821404708,1.0780640864097435
27,-5.49557532580643,5.49557532580643,0.5209125475285171,0.568410233939546,0.916437664955764,206.07773157603884,17609.93292315318,85.45286668518789,263,137,1,91.30699300765991,20.979194386245428,26.332624703828586,20.927850688385245,0.02586836046043695,0.8812149954256091,0.012660146228218809,1.3815575565747509,4.421037600290496,1.344717001135524,1.0301626280517238
28,-5.798408941239472,5.798408941239472,0.5325670498084292,0.5810871812386218,0.9165011155008288,133.99338716787108,16797.547378003444,125.36101768185736,261,139,1,91.06571388244629,21.803996530271647,23.56038839364525,19.217073953703796,0.02397291382336732,0.802388285790974,0.013571095771681356,1.482517882361643,3.8831139448424365,-0.1952254817688362,1.1305972315670756
29,-5.076862693828873,5.076862693828873,0.5864661654135338,0.6403320462440127,0.9158782054616206,197.96499257494153,17389.87517331763,87.84318352010912,266,156,1,97.432852268219,20.66039304287183,25.204251453532063,19.4081922838908,0.03390048559087741,0.8031797767221762,0.052906196797968416,1.1753496828118455,4.178427861124701,0.9668422189463279,1.091248323665382
30,-5.448848701474924,5.448848701474924,0.573076923076923,0.6257683116764188,0.915797288523069,150.312918447105,17504.56942683865,116.45419174665612,260,149,1,96.12649345397949,20.517211152595383,26.82420581920847,21.034397344445264,0.023717435277662926,0.9503975001350852,0.08052981633278297,0.9991081202272227,3.9629396472161997,0.010212262406262607,1.0010732563734255
31,-5.126420475089359,5.126420475089359,0.6212121212121212,0.6788723433157118,0.9150647059475576,161.69358653458377,16916.43481832812,104.62032032859854,264,164,1,101.14433860778809,21.465267107558596,26.005839881536666,18.467217251543282,0.024372046361750287,0.8833801995259786,0.03613345034622571,1.21688672191253,3.3012469345218074,-0.4257282782798443,1.0746679086590276
32,-4.917090628321718,4.917090628321718,0.6156716417910447,0.6719484199038155,0.9162483660266268,219.08690988561457,18425.993217909727,84.10357892915624,268,165,1,99.35930299758911,20.98039892903552,24.408829853627893,19.17113554590753,0.020362301575989596,0.9370191565022167,0.005806975046302357,0.9371593457362404,4.351922653946544,0.47951597100327964,1.068312513980959
33,-5.331976686340264,5.331976686340264,0.5526315789473685,0.6038204938009553,0.9152249461899503,253.4935632196662,22866.066769793764,90.20373724432226,266,147,1,92.13688015937805,22.368653831453734,23.789801854742894,19.30520947580892,0.035282315365791635,0.9733590153530906,0.05878390449901908,1.3799628846224803,3.3764725769676525,0.10410079570566244,1.074473698103173
34,-5.254435965066076,5.254435965066076,0.573076923076923,0.6257410834908254,0.9158371380697836,216.2768426163192,20736.37163481233,95.87883466377026,260,149,1,96.30672216415405,21.957316442740783,23.737398108835656,19.08463868696074,0.029290625285836557,0.8970384638121915,0.030127865246115215,1.108275962352913,3.8743140603367734,-0.3020131063426742,1.0231247226639577
